objectid,parentid,title,architect,building_type,architecture_firm,building_materials,date,date_began,date_completed,date_alteration,date_restoration,date_demolished,description,subject,address,street_name,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,object_thumb,object_location,reference_url
"in005","","Caron Building","","light manufacturing","MacVicar &amp; Heriot","Indiana limestone; brick; granite base","1923","","1923","","","","","","2050-2060 rue de Bleury","","45.5071662","-73.5687609","","IN005","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","multiple","https://digital.library.mcgill.ca/industrial/images/caron.jpg","https://digital.library.mcgill.ca/industrial/images/caron.jpg","https://digital.library.mcgill.ca/industrial/images/caron.jpg","","","https://digital.library.mcgill.ca/industrial/images/caron.jpg","https://digital.library.mcgill.ca/industrial/images/caron.jpg",https://sgolds15.github.io/industrial/items/in005.html
"in005_01","in005","View looking west (1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/caron.jpg","https://digital.library.mcgill.ca/industrial/images/caron.jpg","https://digital.library.mcgill.ca/industrial/images/caron.jpg","","","https://digital.library.mcgill.ca/industrial/images/caron.jpg","https://digital.library.mcgill.ca/industrial/images/caron.jpg",https://sgolds15.github.io/industrial/items/in005.html#in005_01
"in005_02","in005","Architect&#39;s illustration; from Construction 16:9 (Sept. 1923) 313.","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/caron02.jpg","https://digital.library.mcgill.ca/industrial/images/caron02.jpg","https://digital.library.mcgill.ca/industrial/images/caron02.jpg","","","https://digital.library.mcgill.ca/industrial/images/caron02.jpg","https://digital.library.mcgill.ca/industrial/images/caron02.jpg",https://sgolds15.github.io/industrial/items/in005.html#in005_02
"in005_03","in005","Ground floor plan; from Construction 16:9 (Sept. 1923) 311.","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/caron03.jpg","https://digital.library.mcgill.ca/industrial/images/caron03.jpg","https://digital.library.mcgill.ca/industrial/images/caron03.jpg","","","https://digital.library.mcgill.ca/industrial/images/caron03.jpg","https://digital.library.mcgill.ca/industrial/images/caron03.jpg",https://sgolds15.github.io/industrial/items/in005.html#in005_03
"in005_04","in005","Elevation of south wall and elevator entrances, main entrance corridor; from Construction 16:9 (Sept. 1923) 312","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/caron04.jpg","https://digital.library.mcgill.ca/industrial/images/caron04.jpg","https://digital.library.mcgill.ca/industrial/images/caron04.jpg","","","https://digital.library.mcgill.ca/industrial/images/caron04.jpg","https://digital.library.mcgill.ca/industrial/images/caron04.jpg",https://sgolds15.github.io/industrial/items/in005.html#in005_04
"in006","","Gault Brothers Co.","","factory","Finley &amp; Spence","","1901","","1901","1923, 1940","","","","","350 rue de l&#39;Inspecteur","","45.4961295","-73.5603195","","IN006","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","multiple","https://digital.library.mcgill.ca/industrial/images/gault.jpg","https://digital.library.mcgill.ca/industrial/images/gault.jpg","https://digital.library.mcgill.ca/industrial/images/gault.jpg","","","https://digital.library.mcgill.ca/industrial/images/gault.jpg","https://digital.library.mcgill.ca/industrial/images/gault.jpg",https://sgolds15.github.io/industrial/items/in006.html
"in006_01","in006","View looking south west along rue William (1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/gault.jpg","https://digital.library.mcgill.ca/industrial/images/gault.jpg","https://digital.library.mcgill.ca/industrial/images/gault.jpg","","","https://digital.library.mcgill.ca/industrial/images/gault.jpg","https://digital.library.mcgill.ca/industrial/images/gault.jpg",https://sgolds15.github.io/industrial/items/in006.html#in006_01
"in006_01","in006","Photograph (ca. 1903) of the then Crescent Manufacturing Co.; from Ernest Chambers, The Book of Montreal: a Souvenir of Canada&#39;s Commercial Metropolis (Montreal: Book of Montreal, 1903), 177.","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/afgault01.jpg","https://digital.library.mcgill.ca/industrial/images/afgault01.jpg","https://digital.library.mcgill.ca/industrial/images/afgault01.jpg","","","https://digital.library.mcgill.ca/industrial/images/afgault01.jpg","https://digital.library.mcgill.ca/industrial/images/afgault01.jpg",https://sgolds15.github.io/industrial/items/in006.html#in006_01
"in007","","Belgo Building","","light manufacturing","Finley &amp; Spence","Yellow brick; Indiana limestone; Montreal greystone","1913","1912","1913","1958","","","","","352-392 rue Ste-Catherine ouest","","45.4965032","-73.5763754","","IN007","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","multiple","https://digital.library.mcgill.ca/industrial/images/belgo01.jpg","https://digital.library.mcgill.ca/industrial/images/belgo01.jpg","https://digital.library.mcgill.ca/industrial/images/belgo01.jpg","","","https://digital.library.mcgill.ca/industrial/images/belgo01.jpg","https://digital.library.mcgill.ca/industrial/images/belgo01.jpg",https://sgolds15.github.io/industrial/items/in007.html
"in007_01","in007","View, looking north-east, along rue Ste-Catherine (1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/belgo01.jpg","https://digital.library.mcgill.ca/industrial/images/belgo01.jpg","https://digital.library.mcgill.ca/industrial/images/belgo01.jpg","","","https://digital.library.mcgill.ca/industrial/images/belgo01.jpg","https://digital.library.mcgill.ca/industrial/images/belgo01.jpg",https://sgolds15.github.io/industrial/items/in007.html#in007_01
"in007_02","in007","Detail of building ornament (1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/belgo02.jpg","https://digital.library.mcgill.ca/industrial/images/belgo02.jpg","https://digital.library.mcgill.ca/industrial/images/belgo02.jpg","","","https://digital.library.mcgill.ca/industrial/images/belgo02.jpg","https://digital.library.mcgill.ca/industrial/images/belgo02.jpg",https://sgolds15.github.io/industrial/items/in007.html#in007_02
"in007_03","in007","View, looking south, along rue Ste-Catherine (1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/belgo03.jpg","https://digital.library.mcgill.ca/industrial/images/belgo03.jpg","https://digital.library.mcgill.ca/industrial/images/belgo03.jpg","","","https://digital.library.mcgill.ca/industrial/images/belgo03.jpg","https://digital.library.mcgill.ca/industrial/images/belgo03.jpg",https://sgolds15.github.io/industrial/items/in007.html#in007_03
"in008","","Warehouses of William Busby Lambe","","storage facility; warehouse","Hopkins, Lawford &amp; Nelson","grey stone","1857","","1857","","1965","","View looking north-west (1999)","","731 rue de la Commune ouest","","45.4965493","-73.5531447","","IN008","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","image","https://digital.library.mcgill.ca/industrial/images/lambe.jpg","https://digital.library.mcgill.ca/industrial/images/lambe.jpg","https://digital.library.mcgill.ca/industrial/images/lambe.jpg","","","https://digital.library.mcgill.ca/industrial/images/lambe.jpg","https://digital.library.mcgill.ca/industrial/images/lambe.jpg",https://sgolds15.github.io/industrial/items/in008.html
"in010","","J.C. Wilson &amp; Co. Building/Edifice Wilson","","printing plant","J.W. &amp; E.C. Hopkins","red brick; red terra cotta","1880","1880","","","","","","","380 rue St-Antoine est","","45.5108324","-73.5543846","","IN010","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","multiple","https://digital.library.mcgill.ca/industrial/images/wilson01.jpg","https://digital.library.mcgill.ca/industrial/images/wilson01.jpg","https://digital.library.mcgill.ca/industrial/images/wilson01.jpg","","","https://digital.library.mcgill.ca/industrial/images/wilson01.jpg","https://digital.library.mcgill.ca/industrial/images/wilson01.jpg",https://sgolds15.github.io/industrial/items/in010.html
"in010_01","in010","Company advertisement from 1891; from Special Number of the Dominion Illustrated (Montreal: Sabiston Lithographic and Pub., 1891), 172.","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/wilson.jpg","https://digital.library.mcgill.ca/industrial/images/wilson.jpg","https://digital.library.mcgill.ca/industrial/images/wilson.jpg","","","https://digital.library.mcgill.ca/industrial/images/wilson.jpg","https://digital.library.mcgill.ca/industrial/images/wilson.jpg",https://sgolds15.github.io/industrial/items/in010.html#in010_01
"in010_02","in010","View, looking south-east, of front elevation (1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/wilson01.jpg","https://digital.library.mcgill.ca/industrial/images/wilson01.jpg","https://digital.library.mcgill.ca/industrial/images/wilson01.jpg","","","https://digital.library.mcgill.ca/industrial/images/wilson01.jpg","https://digital.library.mcgill.ca/industrial/images/wilson01.jpg",https://sgolds15.github.io/industrial/items/in010.html#in010_02
"in011","","New City Gas Company of Montreal","Ostell, John","gasworks","","red brick","1861","1859","1861","","","","View, looking south-east (1999)","","956 rue Ottawa","","45.49546542","-73.55819097","","IN011","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","image","https://digital.library.mcgill.ca/industrial/images/newcity.jpg","https://digital.library.mcgill.ca/industrial/images/newcity.jpg","https://digital.library.mcgill.ca/industrial/images/newcity.jpg","","","https://digital.library.mcgill.ca/industrial/images/newcity.jpg","https://digital.library.mcgill.ca/industrial/images/newcity.jpg",https://sgolds15.github.io/industrial/items/in011.html
"in012","","Frothingham and Workman Warehouse","","storage facility; warehouse","Ostell &amp; Perrault","Grey stone","1852","","1852","","","","","","147 rue St-Paul ouest","","45.5036098","-73.554951","","IN012","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","multiple","https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg","https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg","https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg","","","https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg","https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg",https://sgolds15.github.io/industrial/items/in012.html
"in012_01","in012","View of main entrance (1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg","https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg","https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg","","","https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg","https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg",https://sgolds15.github.io/industrial/items/in012.html#in012_01
"in012_02","in012","View of building from street (1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/frothworkman02.jpg","https://digital.library.mcgill.ca/industrial/images/frothworkman02.jpg","https://digital.library.mcgill.ca/industrial/images/frothworkman02.jpg","","","https://digital.library.mcgill.ca/industrial/images/frothworkman02.jpg","https://digital.library.mcgill.ca/industrial/images/frothworkman02.jpg",https://sgolds15.github.io/industrial/items/in012.html#in012_02
"in013","","Ateliers Thomas Hood","Footner, William","","","","1860","","1860","","","","View, looking east (1999)","","410-416 rue du Champ-de-Mars","","45.5108292","-73.5531095","","IN013","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","image","https://digital.library.mcgill.ca/industrial/images/thomashood.jpg","https://digital.library.mcgill.ca/industrial/images/thomashood.jpg","https://digital.library.mcgill.ca/industrial/images/thomashood.jpg","","","https://digital.library.mcgill.ca/industrial/images/thomashood.jpg","https://digital.library.mcgill.ca/industrial/images/thomashood.jpg",https://sgolds15.github.io/industrial/items/in013.html
"in014","","Robert Mitchell Co./Montreal Brass Works","Boxer, Frederick (Francois) Nepheau","metalworking plant","","","1862","1862","","1946","1948","n.d.","Advertisement from 1916; from Construction 9:11 (Nov. 1916) 50.","","350-360 rue St-Antoine ouest","","45.5032517","-73.5604542","","IN014","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","image","https://digital.library.mcgill.ca/industrial/images/rmitchell02.jpg","https://digital.library.mcgill.ca/industrial/images/rmitchell02.jpg","https://digital.library.mcgill.ca/industrial/images/rmitchell02.jpg","","","https://digital.library.mcgill.ca/industrial/images/rmitchell02.jpg","https://digital.library.mcgill.ca/industrial/images/rmitchell02.jpg",https://sgolds15.github.io/industrial/items/in014.html
"in015","","Ives and Allen Company","Hutchison, Alexander Cowper","metalworking plant","","","1872","1864","1872","","","1997","View, looking north, shortly after demolition (1999)","","261 rue Queen","","45.49824883","-73.55674664","","IN015","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","image","https://digital.library.mcgill.ca/industrial/images/ivesall2.jpg","https://digital.library.mcgill.ca/industrial/images/ivesall2.jpg","https://digital.library.mcgill.ca/industrial/images/ivesall2.jpg","","","https://digital.library.mcgill.ca/industrial/images/ivesall2.jpg","https://digital.library.mcgill.ca/industrial/images/ivesall2.jpg",https://sgolds15.github.io/industrial/items/in015.html
"in016","","Watson Foster Co. Ltd.","Hutchison, Alexander Cowper","factory","","stone foundation; brick","1897","1896","1897","","","","","","4115 rue Ontario est","","45.5505095","-73.5412305","","IN016","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","multiple","https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg","","","https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg",https://sgolds15.github.io/industrial/items/in016.html
"in016_01","in016","View, looking south-west the intersection of rue Ontario and ave. Desjardins(1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg","","","https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg",https://sgolds15.github.io/industrial/items/in016.html#in016_01
"in016_02","in016","View, looking north-west, along ave. Desjardins (1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/wfoster02.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster02.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster02.jpg","","","https://digital.library.mcgill.ca/industrial/images/wfoster02.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster02.jpg",https://sgolds15.github.io/industrial/items/in016.html#in016_02
"in016_03","in016","Looking north from boul. Pie IX and rue Ontario (1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/wfoster03.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster03.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster03.jpg","","","https://digital.library.mcgill.ca/industrial/images/wfoster03.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster03.jpg",https://sgolds15.github.io/industrial/items/in016.html#in016_03
"in016_04","in016","Illustration of company factory (1903); from Ernest Chambers, The Book of Montreal: a Souvenir of Canada&#39;s Commercial Metropolis (Montreal: Book of Montreal, 1903), 264.","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/wfoster04.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster04.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster04.jpg","","","https://digital.library.mcgill.ca/industrial/images/wfoster04.jpg","https://digital.library.mcgill.ca/industrial/images/wfoster04.jpg",https://sgolds15.github.io/industrial/items/in016.html#in016_04
"in016_05","in016","Company advertisement from 1907; from Montreal: The Commercial Metropolis of Canada and the History of the Gazette 1778-1907 (Montreal: Gazette Printing, 1907), 189.","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/wfosterad.jpg","https://digital.library.mcgill.ca/industrial/images/wfosterad.jpg","https://digital.library.mcgill.ca/industrial/images/wfosterad.jpg","","","https://digital.library.mcgill.ca/industrial/images/wfosterad.jpg","https://digital.library.mcgill.ca/industrial/images/wfosterad.jpg",https://sgolds15.github.io/industrial/items/in016.html#in016_05
"in017","","Sommer Building","","light manufacturing","Hutchison, Wood &amp; Miller","brick; steel and concrete","1912","","1912","1970","","","View, looking north-west, along rue Ontario (1999)","","416-440 boul. de Maisonneuve ouest","","45.473414","-73.605045","","IN017","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","image","https://digital.library.mcgill.ca/industrial/images/sommer.jpg","https://digital.library.mcgill.ca/industrial/images/sommer.jpg","https://digital.library.mcgill.ca/industrial/images/sommer.jpg","","","https://digital.library.mcgill.ca/industrial/images/sommer.jpg","https://digital.library.mcgill.ca/industrial/images/sommer.jpg",https://sgolds15.github.io/industrial/items/in017.html
"in018","","Guaranteed Pure Milk Company","","beverage processing plant","Hutchison, Wood &amp; Miller","Buff brick; &quot;Benedict Stone&quot;","1931","1930","1931","","","","","","1025 rue Lucien-L&#39;Allier","","45.4952394","-73.5718935","","IN018","Image;StillImage","image/jpeg","eng","In Copyright. For more information, please contact McGill Libraries Rare Books and Special Collections at x@mcgill.ca","https://rightsstatements.org/page/InC/1.0/?language=en","multiple","https://digital.library.mcgill.ca/industrial/images/puremilk04.jpg","https://digital.library.mcgill.ca/industrial/images/puremilk04.jpg","https://digital.library.mcgill.ca/industrial/images/puremilk04.jpg","","","https://digital.library.mcgill.ca/industrial/images/puremilk04.jpg","https://digital.library.mcgill.ca/industrial/images/puremilk04.jpg",https://sgolds15.github.io/industrial/items/in018.html
"in018_01","in018","Stylized water-tank (1999)","","","","","","","","","","","","","","","","","","","","","","","","image","https://digital.library.mcgill.ca/industrial/images/puremilk01.jpg","https://digital.library.mcgill.ca/industrial/images/puremilk01.jpg","https://digital.library.mcgill.ca/industrial/images/puremilk01.jpg","","","https://digital.library.mcgill.ca/industrial/images/puremilk01.jpg","https://digital.library.mcgill.ca/industrial/images/puremilk01.jpg",https://sgolds15.github.io/industrial/items/in018.html#in018_01
